"Filename","Title","Author","Subject","Keywords","Producer","Creator","CreationDate","ModDate","NumPages"
"DR--35319146.pdf","EPSCoR Research Infrastructure Improvement Program Track-1: (RII Track-1) (nsf19580) | NSF - National Science Foundation","kkbrown(IRM/DAS)",null,null,"Acrobat Web Capture 11.0","Adobe Acrobat 11.0","D:20190429170153-04'00'","D:20190429171112-04'00'",20
"DR--353212537.pdf",null,"Richard Pleffner",null,null,"Adobe PDF Library 11.0","Acrobat PDFMaker 11 for Word","D:20150807112647-05'00'","D:20150812123329-05'00'",277
"DR--35324915.pdf","FY17 State Commission Contact Information and Deadlines","Galyen, Cindy",null,null,"Microsoft® Word 2013","Microsoft® Word 2013","D:20181009171343-04'00'","D:20181219150127-05'00'",19
"DR--35361090.pdf",null,null,null,null,null,null,"D:20190411084229-04'00'","D:20190411085007-04'00'",39
"DR--35377809.pdf","OCC’s Quarterly Report on Bank Trading and Derivatives Activities, First Quarter 2015","Office of the Comptroller of the Currency",null,null,"Acrobat Distiller 11.0 (Windows)","PScript5.dll Version 5.2.2","D:20150629090119-04'00'","D:20150720143248-04'00'",37
"DR--354191659.pdf",null,"Sidney Hankerson",null,null,"Microsoft® Word 2016","Microsoft® Word 2016","D:20180824160623-04'00'","D:20180824160652-04'00'",16
"DR--354280011.pdf",null,null,null,null,"Acrobat Distiller 4.0 for Windows",null,"D:20010831120044Z","D:20011214104741-05'00'",191
"DR--35439882.pdf","Q:\\Front Office\\Gabriel.Ellenberger\\Webpostings\\Polyester Staple Fiber (Final) Hearing.wpd","gabriel.ellenberger",null,null,"Acrobat Distiller 7.0 (Windows)","PScript5.dll Version 5.2.2","D:20070514093754-04'00'","D:20070514093754-04'00'",294
"DR--35451399.pdf","C:\\Documents and Settings\\gabriel.ellenberger\\Desktop\\Webpostings\\Metal Calendar Slides Hearing (Final) 6-22-06.wpd","gabriel.ellenberger",null,null,"Acrobat Distiller 7.0 (Windows)","PScript5.dll Version 5.2.2","D:20060823093825-04'00'","D:20060823100811-04'00'",302
"DR--354818793.pdf",null,"Ramon Oliveira",null,null,"Microsoft® Word 2016","Microsoft® Word 2016","D:20180313150325-03'00'","D:20180313150405-03'00'",13
"DR--35482600.pdf","Wheat Trading Practices: Competitive Conditions Between U.S. and Canadian Wheat",null,null,null,"Adobe Photoshop for Windows","Adobe Photoshop 5.5"," Wed Dec 19 11:23:28 2001\n ","D:20061129112148-05'00'",180
"DR--35500927.pdf","Linguistics: Dynamic Language Infrastructure-Doctoral Dissertation Research Improvement Grants (DLI-DDRI) (nsf19607) | NSF - National Science Foundation","kkbrown(IRM/DAS)",null,null,"Acrobat Web Capture 11.0","Adobe Acrobat 11.0","D:20191001151531-04'00'","D:20191001152736-04'00'",12
